timestamp,ear_ema,mar_ema,pitch,yolo_classes,status_text
1766758074.3757718,0.229,0.006,7.94,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.4736726,0.226,0.005,8.30,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.5666506,0.223,0.005,8.56,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.6699827,0.225,0.004,8.09,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.7956738,0.226,0.005,8.25,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.8906248,0.230,0.006,7.58,closed_mouth,NORMAL
1766758074.9883916,0.233,0.007,7.57,closed_mouth,NORMAL
1766758075.103662,0.233,0.006,8.49,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758075.2018657,0.236,0.006,7.98,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758075.2976024,0.239,0.008,8.13,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758075.3913703,0.248,0.012,7.61,closed_mouth,NORMAL
1766758075.4901361,0.256,0.013,7.66,closed_mouth,NORMAL
1766758075.5784657,0.262,0.011,7.60,closed_mouth-open_eyes,NORMAL
1766758075.6769693,0.264,0.009,7.52,closed_mouth-open_eyes,NORMAL
1766758075.7717474,0.270,0.008,6.36,closed_mouth-open_eyes,NORMAL
1766758075.8688655,0.279,0.048,4.76,closed_mouth-open_eyes,NORMAL
1766758075.9803002,0.282,0.062,6.15,closed_mouth-open_eyes,NORMAL
1766758076.0676258,0.286,0.085,5.08,closed_mouth-open_eyes,NORMAL
1766758076.1605248,0.288,0.095,6.58,closed_mouth-open_eyes,NORMAL
1766758076.255715,0.287,0.069,6.07,closed_mouth-open_eyes,NORMAL
1766758076.3514519,0.277,0.076,7.39,closed_mouth,NORMAL
1766758076.443171,0.271,0.076,8.29,closed_mouth,NORMAL
1766758076.5529647,0.266,0.070,8.94,closed_mouth,NORMAL
1766758076.6520457,0.261,0.072,9.15,closed_mouth,NORMAL
1766758076.7527988,0.258,0.055,9.83,closed_mouth,NORMAL
1766758076.8457775,0.255,0.040,8.24,closed_mouth,NORMAL
1766758076.934604,0.252,0.043,7.56,closed_mouth,NORMAL
1766758077.033501,0.251,0.033,8.25,closed_mouth,NORMAL
1766758077.1328115,0.252,0.032,8.97,closed_mouth,NORMAL
1766758077.230645,0.252,0.028,9.95,closed_mouth,NORMAL
1766758077.3279061,0.253,0.021,9.91,closed_mouth,NORMAL
1766758077.4289348,0.258,0.017,10.30,closed_mouth,NORMAL
1766758077.5369568,0.258,0.014,9.94,closed_mouth,NORMAL
1766758077.6564531,0.258,0.012,9.94,closed_mouth,NORMAL
1766758077.7552931,0.257,0.010,10.52,closed_mouth,NORMAL
1766758077.8491337,0.256,0.009,10.71,closed_mouth,NORMAL
1766758077.9548848,0.256,0.012,10.78,closed_mouth,NORMAL
1766758078.0979345,0.256,0.013,10.70,closed_mouth,NORMAL
1766758078.2062266,0.260,0.011,10.42,closed_mouth,NORMAL
1766758078.3120773,0.264,0.009,10.49,closed_mouth,NORMAL
1766758078.41183,0.264,0.008,10.27,closed_mouth,NORMAL
1766758078.514627,0.261,0.007,10.37,closed_mouth,NORMAL
1766758078.6189754,0.208,0.014,12.47,None,NORMAL
1766758078.725824,0.173,0.020,14.38,None,NORMAL
1766758078.8414745,0.191,0.016,12.57,closed_eyes,DIKKAT! (Goz Kapandi)
1766758078.9470983,0.212,0.019,9.95,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758079.0291429,0.226,0.016,9.83,closed_mouth-open_eyes,NORMAL
1766758079.1162806,0.240,0.014,10.13,closed_mouth-open_eyes,NORMAL
1766758079.2243772,0.247,0.013,9.36,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758079.3269417,0.243,0.011,8.22,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758079.417131,0.195,0.012,10.37,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758079.5127094,0.180,0.011,9.52,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758079.6187942,0.204,0.010,9.50,closed_mouth,NORMAL
1766758079.7151637,0.222,0.009,9.37,closed_mouth,NORMAL
1766758079.811788,0.235,0.008,9.54,closed_mouth,NORMAL
1766758079.9033678,0.244,0.008,9.51,closed_mouth,NORMAL
1766758080.0049422,0.245,0.007,9.40,closed_mouth,NORMAL
1766758080.107281,0.249,0.006,9.90,closed_mouth,NORMAL
1766758080.209389,0.250,0.006,9.87,closed_mouth,NORMAL
